o:id,o:resource_class,schema:sameAs,jdc:valeurUtilite,jdc:hasRencontre,dcterms:title,foaf:firstName,foaf:lastName,foaf:givenName,foaf:homepage,schema:relatedLink
62539,foaf:Person,,,,Mônica Macedo-Rouet,Mônica,Macedo-Rouet,Mônica Macedo-Rouet,,
62173,foaf:Person,,,,Jock D. Mackinlay,Jock D.,Mackinlay,Jock D. Mackinlay,,
62662,foaf:Person,,,,B. MacSharry,B.,MacSharry,B. MacSharry,,
62669,foaf:Person,,,,Brian MacSharry,Brian,MacSharry,Brian MacSharry,,
61903,foaf:Person,,,,Pierre Madelin,Pierre,Madelin,Pierre Madelin,,
62025,foaf:Person,,,,Stéphanie Mader,Stéphanie,Mader,Stéphanie Mader,,
61874,foaf:Person,,,,Michel Maffesoli,Michel,Maffesoli,Michel Maffesoli,,
62015,foaf:Person,,,,Christophe Magis,Christophe,Magis,Christophe Magis,,
62573,foaf:Person,,,,Bernard Magné,Bernard,Magné,Bernard Magné,,
61479,foaf:Person,,,,Jean-Philippe Magué,Jean-Philippe,Magué,Jean-Philippe Magué,,
62408,foaf:Person,,,,Farzaneh Mahdisoltani,Farzaneh,Mahdisoltani,Farzaneh Mahdisoltani,,
61289,foaf:Person,,,,Annaig Mahé,Annaig,Mahé,Annaig Mahé,,
62544,foaf:Person,,,,Johanna Maier,Johanna,Maier,Johanna Maier,,
61247,foaf:Person,,,,Louis de Mailly,Louis de,Mailly,Louis de Mailly,,
61715,foaf:Person,,,,Solange de Mailly-Nesle,Solange de,Mailly-Nesle,Solange de Mailly-Nesle,,
62430,foaf:Person,,,,Véronique Maire,Véronique,Maire,Véronique Maire,,
61107,foaf:Person,,,,H. A Makse,H. A,Makse,H. A Makse,,
541206,foaf:Person,,,,Catherine Malabou,Catherine,Malabou,Catherine Malabou,,
62771,foaf:Person,,,,Marie-Laure Malingre,Marie-Laure,Malingre,Marie-Laure Malingre,,
61227,foaf:Person,,,,Ivanova Malinka,Ivanova,Malinka,Ivanova Malinka,,
