o:id,dcterms:title,skos:prefLabel,skos:altLabel,jdc:hasActant,jdc:hasConcept,jdc:hasCrible,action
78534,bit,bit,,,,,
78538,papillon,papillon,,,,,
78542,dynamique,dynamique,,,,,
78555,Pratique informationnelle,Pratique informationnelle,,,,,
78565,identité numérique,identité numérique,,,,,
78569,communication médiée par ordinateur,communication médiée par ordinateur,,,communication ; IHM,,explode
78573,individu-document,individu-document,,,individu ; document,,explode
78577,présentation de soi,présentation de soi,,,,,
78581,identités documentées,identités documentées,,,,,
78585,données personnelles,données personnelles,,,,,
78589,partage de médias,partage de médias,,,,,
78593,collective,collective,,,,,
78636,intelligence,intelligence,,,,,
78679,indexation,indexation,,,,,
78719,contrôle,contrôle,,,,,
78732,soi,soi,,,,,
78739,metadata,metadata,,,,,
78743,credo,credo,,,,,
78765,illusion,illusion,,,,,
78772,superstion,superstion,,,,,
78776,science humaines,science humaines,,,,,
78792,dernière phrase,dernière phrase,,,,,
78802,statistiques,statistiques,,,,,
78818,subjectivité,subjectivité,,,,,
78834,probabilité,probabilité,,,,,
78838,chance,chance,,,,,
78851,analogie,analogie,,,,,
79005,balance,balance,,,,,
79009,motifs,motifs,,,,,
79013,poids,poids,,,,,
79017,venn,venn,,,,,
79030,complexe,complexe,,,,,
79043,filtre,filtre,,,,,
79047,interface,interface,,,,,
79060,simple,simple,,,,,
79067,interactivité,interactivité,,,,,
79071,KO,KO,,,,,
79075,flou,flou,,,,,
79082,vectoriel,vectoriel,,,,,
79092,ihm,ihm,,,,,
79108,TALN,TALN,,,,,
79112,défi,défi,,,,,
79119,idée,idée,,,,,
79132,mandala,mandala,,,,,
79184,navigation,navigation,,,,,
79191,analogique,analogique,,,,,
79204,défis,défis,,,,,
79208,coprs,coprs,,,,,
79212,paysage,paysage,,,,,
79225,topographie,topographie,,,,,
79229,Serres,Serres,,,,,
79236,alchimie,alchimie,,,,,
79264,tissage,tissage,,,,,
79283,analogisme,analogisme,,,,,
79305,complexité,complexité,,,,,
79333,simplexité,simplexité,,,,,
79337,musique,musique,,,,,
79353,pensée collective,pensée collective,,,,,
79357,informatique,informatique,,,,,
79391,philosophie,philosophie,,,,,
79413,rapport,rapport,,,,,
79441,naturalisme,naturalisme,,,,,
79448,totémisme,totémisme,,,,,
79455,animisme,animisme,,,,,
79462,méta,méta,,,,,
79466,mystère,mystère,,,,,
79470,artiste,artiste,,,,,
79474,connaissance,connaissance,,,,,
79655,cerveau,cerveau,,,,,
79668,absolu,absolu,,,,,
79684,intérieur,intérieur,,,,,
79697,vide,vide,,,,,
79704,exclamation,exclamation,,,,,
79708,âme,âme,,,,,
79733,sentir,sentir,,,,,
79737,sexe,sexe,,,,,
79741,amour,amour,,,,,
79745,transparence,transparence,,,,,
79755,éclatement,éclatement,,,,,
79759,effort,effort,,,,,
79763,courage,courage,,,,,
79767,cognitif,cognitif,,,,,
79780,agent,agent,,,,,
79787,réactif,réactif,,,,,
79791,trace,trace,,,,,
79804,phéromones,phéromones,,,,,
79808,spirale,spirale,,,,,
79824,tissu,tissu,,,,,
79852,armes,armes,,,,,
79856,temps,temps,,,,,
79893,société,société,,,,,
79903,imaginaire,imaginaire,,,,,
79913,matière,matière,,,,,
79944,abeille,abeille,,,,,
79948,productivité,productivité,,,,,
79952,bêtise,bêtise,,,,,
79962,immatériel,immatériel,,,,,
79969,nécessité,nécessité,,,,,
79979,physicalité,physicalité,,,,,
79989,hypermatière,hypermatière,,,,,
79993,plastique,plastique,,,,,
79997,hacker,hacker,,,,,
80004,pouvoir,pouvoir,,,,,
80029,consommateur,consommateur,,,,,
80033,simplicité,simplicité,,,,,
80037,curiosité,curiosité,,,,,
80041,équilibre,équilibre,,,,,
80048,leurre,leurre,,,,,
80058,digital,digital,,,,,
80062,notationnel,notationnel,,,,,
80066,organisation,organisation,,,,,
80082,description,description,,,,,
80092,représentation,représentation,,,,,
80117,objectif,objectif,,,,,
80133,dessiner,dessiner,,,,,
80137,subjectif,subjectif,,,,,
80141,rêve,rêve,,,,,
80151,fait,fait,,,,,
80155,pédagogie,pédagogie,,,,,
80171,constructivisme,constructivisme,,,,,
80175,serious game,serious game,,,,,
80185,école,école,,,,,
80192,ennui,ennui,,,,,
80196,enseignement,enseignement,,,,,
80212,plaisir,plaisir,,,,,
80216,jeu,jeu,,,,,
80226,mouvement,mouvement,,,,,
80230,apprendre,apprendre,,,,,
80261,critères,critères,,,,,
