o:id,dcterms:title,jdc:hasRencontre,jdc:complexity,jdc:valeurUtilite
61821,"Paulo Freire",,125,30
61822,"Stéphane Vial",,223,30
61823,"Viviane Folcher",20,137,10
61824,"Franck Bodin",30,421,20
61825,"Soulages François",30,227,20
61826,"Sean Kandel",,155,
61827,"Laurence Noël",,179,
61828,"Erich Hörl",,19,
61829,"Guillaume Plas",,19,
61830,"Frédéric Neyrat",,143,
61831,"Dominique Quessada",,147,
61832,"Francis Laloë Dominique Hervé",,129,
61833,"Vincent Liquète",,335,20
61834,"Elise Chomienne",,159,
61835,"Anne Lehmans",,163,20
61836,"Charlotte Gauvry",,19,
61837,"François Soulages",50,251,40
61839,"Susan Kovacs",,203,
61840,"Bernard Valade",,203,
61841,"Philippe de Lara",,163,
61842,"José Saramago",,125,
61843,"Geneviève Leibrich",,125,
61844,"Estrella Rojas",30,133,20
61845,"Rob Shields",,113,
61846,"Pierre-Yves Oudeyer",,125,
61847,"Jean Demangeot",,109,
61848,"Pablo Jensen",,175,
61849,"Tommaso Venturini",,299,
61850,"Sebastian Grauwin",,175,
61851,"Marion Wolff",,187,
61852,"J.-M. Burkhardt",,187,
61853,"Concepción de la Garza",,187,
61854,"Iza Marfisi-Schottman",,219,
61855,"Olivier Ertzscheid",,425,30
61856,"Anne-Sophie Collard",,159,
61857,"Catherine De Lavergne",,163,
61858,"Marie-Caroline Heïd",,163,
61859,"Sylvie Ranwez",,131,
61860,"Dominique Provot",,135,
61861,"Pascale Aoudé",,143,
61862,"Nicolas Guichon",,119,
61863,"Béatrice Drot-Delange",,19,
61864,"Eric Bruillard",,19,
61865,"Amal Battou",,167,
61866,"Georges-Louis Baron",,123,
61867,"Claire François",,279,
61868,"Besagni Dominique",,123,
61869,"Fabry Cécilia",,123,
61870,"Roussel Clotilde",,123,
61871,"Sophie Chauvin",,19,
61872,"Jean-Marie Chevalier",,131,
61873,"Stéphane Hugon",,159,
61874,"Michel Maffesoli",,163,
61875,"Emmanuel Lazega",,19,
61876,"Yrjö Engeström",,163,10
61877,"Dominic Marion",,19,
61878,"Christian Jacob",,145,
61879,Collectif,,373,
61880,"Camille Roth",,19,
61881,"Jean-Marie Klinkenberg",,507,40
61882,"Dominique Besagni",,175,
61883,"Cécilia Fabry",,319,
61884,"Clotilde Roussel",,319,
61885,"Éric Guichard",,153,
61886,"Thierry Poibeau",,19,
61887,"Daniel Peraya",,187,
61888,"Claire Peltier",,187,
61889,"Evl Villiot-Leclercq, Emmanuelle",,187,
61890,"Marc Nagels",,187,
61891,"Cyrille Morin",,187,
61892,"Réginald Burton",,187,
61893,"Giovanna Mancuso",,187,
61894,AIPU,,179,
61895,"Michel Arnaud",,155,
61896,"Valérie Emin-Martinez",,135,
61897,"Roberta De Santis",,127,
61898,"Alessandra Fasano",,127,
61899,"Nadia Mignolli",,127,
61900,"Anna Villa",,127,
61901,"Andreas Kratky",,19,
61902,"Tim Ingold",,397,10
61903,"Pierre Madelin",,159,
61904,"Pierre Charbonnier",,159,
61905,"Denis Martouzet",,129,
61906,"Luc Gwiazdzinski",,19,
61907,"Lars Grunewaldt",,145,
61908,"Kim Moller",,145,
61909,"Karsten Morisse",,145,
61910,"Thomas Sempf",,145,
61911,"Vassil Alexandrov",,173,
61912,"R. Schroeter",,105,
61913,"J. Hunter",,105,
61914,"D. Kosovic",,105,
61915,"Étienne Perény",,243,
61916,"Xavier Grizon",,163,
61917,"Pierre Rabhi",,129,10
61918,"Ghislaine Chartron",20,789,10
61919,"Mostafa Bellafkih",,133,
61920,"Joël Gardes",,133,
61921,"Mohamed Ramdani",,133,
61922,"Anila Angjeli",,143,
61923,"Lisette Calderan",,133,
61924,"Jacques Millet",,133,
61925,"Renaud Girard",,105,
61926,"Charles Perin",,19,
61927,"Lise Andries",,121,
61928,"Jérémy Dubus",,123,
61929,"Isabelle Châtelet",,135,
61930,"Michel Costantini",,19,
61931,"Algirdas Julien Greimas",,349,
61932,"Jules Michelet",,117,
61933,"Athénaïs Michelet",,117,
61934,"Bernard Marr",,133,
61935,"Fernando Iafrate",,125,
61936,"Colin Strong",,125,
61937,"Michel Onfray",,125,30
61938,"Étienne Souriau",,349,
61939,"Gérald Kembellec",60,717,10
61940,"Francis Chateauraynaud",10,575,30
61941,"Astra Taylor",,133,
61942,"Jean Danielou",,111,
61943,"Anne Charreyron-Perchet",,111,
61944,"Jean-François Lucas",,127,
61945,Nagarjuna,,113,
61946,"Georges Driessens",,117,
61947,"Gyatso Yonyen",,117,
61948,"Béa Arruabarrena",30,143,3
61949,"Amandine Afonso Jaco",,211,
61950,"Stéphanie Buisine",,211,
61951,"Jessy Barré",,211,
61952,"Améziane Aoussat",,211,
61953,"Frédéric Vernier",,211,
61954,"Camille Bloomfield",,125,
61955,"Claire Lesage",,125,
61956,"Jérome Dupire",,101,
61957,"Mathieu Lafourcade",,125,
61958,"Nathalie Le Brun",,125,
61959,"Alain Joubert",,125,
61960,"Muriel Louâpre",40,371,30
61961,"Valérie Carayol",,205,
61962,"Ioan Roxin",60,849,40
61963,"Adeline Wrona",,145,
61964,"Hélène Hampartzoumian",,163,
61965,"Rose-Line Preud’Homme",,163,
61966,"Grégoire Loïs",,163,
61967,"Richard Raymond",,163,
61968,"Ève Anne Bühler",,163,
61969,"Yousri Hanachi",,163,
61970,"Régis Debray",5,117,10
61971,"Gerard P.J. Dijkema",,175,
61972,"Ming Xu",,175,
61973,"Sybil Derrible",,175,
61974,"Reid Lifset",,175,
61975,"Michel Authier",,129,
61976,"Mark Bernstein",20,171,20
61977,"Olivier Mannoni",,101,
61978,"Anne-Marie Chappuis",,135,
61979,"Franck Varenne",,123,
61980,"Philippe Gambette",10,93,10
61981,"Hilde Eggermont",,85,
61982,"Xavier Le Roux",,85,
61983,"Valérie Debuiche",,19,
61984,"Joseph Moreau",,143,
61985,"Jacqueline Henry",,133,
61986,"Robert Matthew French",,133,
61987,"Ian Milligan",,143,
61988,"Kristen Gallant",,127,
61989,"Elizabeth Lorang",,127,
61990,"Anneka Ramirez",,127,
61991,"Alain Vaillant",,133,
61992,"Patrick Peccatte",,179,
61993,"Pierre Mounier",,301,
61994,"Dietmar Schenk",,379,
61995,"Philippe Forget",,159,
61996,"Franco Moretti",,247,
61997,"Laurent Jeanpierre",,141,
61998,"Etienne Dobenesque",,141,
61999,"Lise Vieira",,19,
62000,"Evgeny Morozov",,121,
62001,"Pascale Haas",,121,
62002,"Jean-François Bert",,231,
62003,"Marc J. Ratcliff",,121,
62004,"Daniel Robichaud",,203,
62005,"Chantal Benoit-Barné",,203,
62006,"Patrice de la Broise",,203,
62007,"Sylvie Grosjean",,203,
62008,"Michel Bitbol",,125,
62009,"Philippe Dessus",,19,
62010,"Luciana Parisi",,19,
62011,samszo,,111,
62012,"Arnaud Laborderie",40,521,30
62013,"Patrizia Laudati",40,247,10
62014,"Marc Ratcliff",,133,
62015,"Christophe Magis",,19,
62016,"Eric Sadin",,137,10
62017,"Claire Petitmengin",,169,
62018,"Jacques Jaffelin",,121,
62019,"Alexandre Coutant",5,159,
62020,"Jean-Claude Domenget",40,287,10
62021,"David Douyère Hélène Bourdeloie",,155,
62022,"Jean-Paul Delahaye",,111,
62023,"Franck Berthelon",,115,
62024,"Gabriela Fiema",,19,
62025,"Stéphanie Mader",,19,
62026,"Camille Bosqué",,19,
62027,"Mathieu Jacomy",,247,30
62028,"Paul Girard",,143,
62029,"Benjamin Ooghe",,143,
62030,"Lyazid Sabri",,19,
62031,"Jean-Paul Imbert",,115,
62032,"Jérôme Guérin",,137,
62033,"Marc Durand",,137,
62034,"Yolaine Bourda",,407,
62035,"Gilles Gauthier",,179,
62036,"Rosa-Maria Gomez De Regil",,183,
62037,"Olivier Catteau",,179,
62038,"Laurence Gramondi",,143,
62039,"Gilles Bertin",,247,
62040,"Annie Bertrand",,247,
62041,"Elizabeth Cherhal",,247,
62042,"Laurent Flory",,247,
62043,"Rosa María Gómez de Regil",,247,
62044,"Xavier Hennequin",,247,
62045,"Monique Joly",,247,
62046,"Jean-Bernard Marino",,247,
62047,"Jean-Philippe Pernin",,247,
62048,"Maayan Zhitomirsky-Geffet",,195,
62049,"Gila Prebor",,135,
62050,"Orna Bloch",,135,
62051,"Laurence Favier",10,151,10
62052,"Widad Mustafa El Hadi",40,151,10
62053,"Dominique Vinck",,255,
62054,"Xavier Loyant",,19,
62055,"Marianne Deraze",,19,
62056,"Gautier Poupeau",,195,
62057,"Bernard Vatant",,195,
62058,"Raphael Troncy",,277,
62059,"Stéphane Pouyllau",,195,
62060,"Ruth Martinez",,195,
62061,"Michèle Battisti",,195,
62062,"Shalom H. Schwartz",,143,
62063,"Frédéric Kaplan",,133,
62064,"Mélanie Fournier",,133,
62065,"Marc-Antoine Nuessli",,133,
62066,"David Chavalarias",,143,
62067,"Amir Zidi",,19,
62068,"George Orwell",,129,
62069,"Amélie Audiberti",,129,
62070,"Mathieu Andro",60,757,20
62071,"Francesco Beretta",,271,
62072,"Pierre Vernus",,139,
62073,"Baya Mansouri",,19,
62074,"Emanuele Fadda",,183,
62075,"Christian Puech",,19,
62076,"Julie Lefebvre",,19,
62077,"Françoise Bottéro",,19,
62078,"Sergueï Tchougounnikov",,19,
62079,"Pierre-Yves Testenoire",,19,
62080,"Margarita Schoenenberger",,19,
62081,"Grégory Miras",,19,
62082,"Francis Tollis",,19,
62083,"Dominique Ducard",,19,
62084,"Irène Fenoglio",,19,
62085,"Marie-Luce Demonet",,19,
62086,"Cendrine Pagani-Naudet",,19,
62087,"Gilles Caporossi",,19,
62088,"Christophe Leblay",,19,
62089,"Béatrice Godart-Wendling",,19,
62090,"Antonio Mosca",,19,
62091,"Manuel Gustavo Isaac",,19,
62092,"Brigitte Garcia",,19,
62093,"Adèle Jatteau",,19,
62094,"Laurent Balon",,19,
62095,"Camiel Hamans",,19,
62096,"Elena Simonato",,19,
62097,"Antonio Baroni",,19,
62098,"Rossana De Angelis",,19,
62099,"Stefan Goltzberg",,19,
62100,"Isabelle Klock-Fontanille",,19,
62101,"Ekaterina Alexeeva",,19,
62102,"Claire Doquet",,19,
62103,"Marli Quadros Leite",,19,
62104,"Claudia Savina Bianchini",,19,
62105,"Carita Klippi",,19,
62106,"Yishaï Neuman",,19,
62107,"Mohamed Bouamama",,19,
62108,"Béatrice Hammer",,119,
62109,"Monique Wach",,119,
62110,"Ariane Debourdeau",,135,
62111,"Anne-Caroline Prévot",,255,
62112,"Anne Dozières",,139,
62113,"Sébastien Turpin",,139,
62114,"Ralph H. Johnson",,121,
62115,"J. Anthony Blair",,121,
62116,"Cram101 Textbook Reviews",,121,
62117,"Jacques Robin",,139,
62118,"Christophe Assens",,167,
62119,"Joëlle Ensminger",,167,
62120,"Gilles Bastin",,127,
62121,"Claudine Tiercelin",,231,
62122,"Robert Plutchik",,343,20
62123,"Baptiste Rappin",,143,
62124,"Xavier Inghilterra",,19,
62125,"Mahmoud Darwich",,137,
62126,"Elias Sanbar",,137,
62127,"Michèle Prieur",,155,
62128,"François Queyroi",,227,
62129,"Raymond Lulle",,111,30
62130,"Zygmunt Bauman",,121,
62131,"Christophe Rosson",,121,
62132,"Yehûdah ben Samuel ibn Balaʿam",,127,
62133,"Jehudah ben BalaʿAm",,127,
62134,"Jean Mercier",,131,
62135,"Ivan Illich",,133,10
62137,"Orélie Desfriches Doria",80,1153,40
62138,"Fahima Djelil",,19,
62139,"Sharon Chu",,19,
62140,"Francis Quek",,19,
62141,"C. Le Page",,107,
62142,"Sandra Bourdier Mellot",,19,
62143,"Yamil Salim Perchy",,115,
62144,"Anna Wierzbicka",,19,
62145,"Sophie Hamon",,19,
62146,"Mathieu Amy",,19,
62147,"Bert Peeters",,19,
62148,"Jean-Pierre Albert",,131,
62149,"Agnieszka Kedzierska-Manzon",,131,
62150,"Sébastien Ferré",,355,
62151,"Hicham-Stéphane Afeissa",,135,
62152,"Sophie Gosselin",,135,
62153,"Cécile Swiatek",,163,
62154,"Myriam Gorsse",,163,
62155,"Jean-Marc Meunier",70,891,50
62156,"Serge Tisseron",,207,
62157,"Florian Jaton",,131,
62158,"David Reymond",40,143,60
62159,"Philippe Averlant",,127,
62160,"Karim Barkati",,115,
62161,"Pollet Charlotte",,115,
62162,"Isabelle Robinet",,19,
62163,"Pascaline Dury",,159,
62164,"Samuel Huron",,19,
62165,"Alain Javeau",,19,
62166,"Gaspard Brun",,19,
62167,"Pascal Roques",,125,
62168,"Jean Léo Léonard",,175,
62169,"Jean-Jacques Boutaud",,113,
62170,"Michael Bostock",,185,40
62171,"Vadim Ogievetsky",,95,
62172,"Stuart K. Card",,135,
62173,"Jock D. Mackinlay",,135,
62174,"Benoit Baudry",,135,
62175,"Martin Monperrus",,135,
62176,"Cendrine Mony",,135,
62177,"Franck Chauvel",,135,
62178,"Franck Fleurey",,135,
62179,"Siobhan Clarke",,135,
62180,"Lylia Alouache",,127,
62181,"Jianxiao Yang",,127,
62182,"Guillaume Surroca",,123,
62183,"Louise Merzeau",10,173,20
62184,"Thomas Boccon-Gibod",,145,
62185,"Cristina Ion",,145,
62186,"Eric Mougenot",,145,
62187,"Denis Bruckmann",,145,
62188,"Ronald R. Yager",,137,
62189,"Jordán Pascual Espada",,137,
62190,"Stéphane Safin",50,229,50
62191,"Nicolas Donin",,129,
62192,"Laurent Feneyrou",,129,
62193,"Yann Moulier-Boutang",,147,10
62194,"Emmanuel Videcoq",,143,
62195,"Jérôme Thièvre",,89,
62196,"France Henri",,19,
62197,"S. Duchemin",,97,
62198,"Groupe µ",,409,70
62199,"Pascal Froissart",20,27,10
62200,"Stéphane Olivési",,19,
62201,"Yves Clot",,125,
62202,"Joi Ito",,137,
62203,"Jeff Howe",,137,
62204,"Conseil national du numérique (CNN)",,183,
62205,"Leonardo Angelini",,167,
62206,"Omar Abou Khaled",,167,
62207,"Elena Mugellini",,167,
62208,"Pauline De Pechpeyrou",,159,
62209,"Jacques Grinevald",,19,
62210,"Géraldine Abrami",,251,
62211,"Marion Amalric",,251,
62212,"Brice Anselme",,251,
62213,"Arnaud Banos",,251,
62214,"Elise Beck",,251,
62215,"Nicolas Becu",,251,
62216,"Baptiste Blanpain",,251,
62217,"Sébastien Caillault",,251,
62218,"Nathalie Corson",,251,
62219,"Eric Daudé",,251,
62220,"Marta Debolini",,251,
62221,"Etienne Delay",,251,
62222,"Françoise Duraffour",,251,
62223,"Aurélie Gaudieux",,251,
62224,"Benoit Gaudou",,251,
62225,"Thomas Houet",,251,
62226,"Patrice Langlois",,251,
62227,"Vincent Laperrière",,251,
62228,"Rémi Lemoy",,251,
62229,"Thomas Louail",,251,
62230,"Nicolas Marilleau",,251,
62231,"François Miahle",,251,
62232,"Claude Monteil",,251,
62233,"Diego Moreno",,251,
62234,"Cyril Pivano",,251,
62235,"Romain Reulier",,251,
62236,"Sebastien Rey-Coyrehourcq",,251,
62237,"Frédéric Rousseaux",,251,
62238,"Paul Salze",,251,
62239,"Clara Schmitt",,251,
62240,"David Sheeren",,251,
62241,"Patrick Taillandier",,251,
62242,"Hugo Thierry",,251,
62243,"Clémence Vannier",,251,
62244,"Vincent Levorato",,19,
62245,"Z. Belmandt",,125,
62246,"Srdjan Vesic, Jonathan Ben-Naim Leila Amgoud",,107,
62247,"Serge Thibault",,19,
62248,"Solange Ghernaouti-Hélie (D)",,131,
62249,"Arnaud Dufour",,131,
62250,"Joël Colloc",,155,
62251,"Elisa Omodei",,19,
62252,"Rosemonde Letricot",,149,
62253,"Mario Cuxac",,149,
62254,"Maria Uzcategui",,149,
62255,"Andrea Cavaletto",,149,
62256,"Philippe Martin",,149,
62257,"Silvia Mostaccio",,149,
62258,"Paul Servais",,149,
62259,"Laurent Beauguitte",,19,
62260,"François Briatte",,143,
62261,"Joris Sansen",,19,
62262,"Joëlle L Coutaz",,179,
62263,"James L Crowley",,179,
62264,AFIHM,,171,
62265,"Nathalie Sonnac",,167,
62266,"Adrien Revault d'Allonnes",5,23,
62267,"Joachim Debaz",20,109,10
62268,"Cynthia Fleury",,253,10
62269,"Hubert Guillaud",,111,20
62270,"Frédéric Glorieux",,19,
62271,"Pierre-Carl Langlais",,19,
62272,"Thomas Bottini",,117,
62273,"Nicolas Sauret",70,27,40
62274,"Andrew Abbott",,151,
62275,"Hugo Bouvard",,151,
62276,"Étienne Ollion",,151,
62277,"Lise Verlaet",20,147,
62278,"Jean-Guy Meunier",,19,
62279,"Nathalie Ferrand",,19,
62280,"Michèle Weil",,19,
62282,"Nadine Mandran",,199,
62283,"Maroua Meddeb",,19,
62284,"Yuanfang Chen",,19,
62285,"Taïma del Carmen Pérez Rosillo",,19,
62286,"Johann Vincent",,19,
62287,"Christine Porquet",,19,
62288,"Maroua Borsali",,19,
62289,"Harold Leboulanger",,19,
62290,"Claudio A. Ardagna",,19,
62291,"Jianying Zhou",,19,
62292,"H. Chen",,241,
62293,"F. Perich",,241,
62294,"T. Finin",,241,
62295,"A. Joshi",,241,
62296,"Jean-Paul Kasprzyk",,99,
62297,"Jane Hunter",,159,
62298,"Takeo Kanade",,903,
62299,"Josef Kittler",,903,
62300,"Jon M. Kleinberg",,903,
62301,"Friedemann Mattern",,903,
62302,"John C. Mitchell",,903,
62303,"Moni Naor",,903,
62304,"Oscar Nierstrasz",,903,
62305,"C. Pandu Rangan",,903,
62306,"Bernhard Steffen",,903,
62307,"Madhu Sudan",,903,
62308,"Demetri Terzopoulos",,903,
62309,"Dough Tygar",,447,
62310,"Moshe Y. Vardi",,903,
62311,"Gerhard Weikum",,903,
62312,"Anne Persson",,219,
62313,"Janis Stirna",,219,
62314,"Chrisa Tsinaraki",,219,
62315,"Panagiotis Polydoros",,219,
62316,"Stavros Christodoulakis",10,227,5
62317,"Jean Carrive",,101,
62318,"Steffen Lalande",30,569,20
62319,"Jean-Philippe Poli",,101,
62320,"Claire Lavenir",,311,
62321,"Fagot Christophe",,215,
62322,"Alain Collignon",,163,
62323,"François Parmentier",,163,
62324,"Elise Moreau",,163,
62325,"Nicolas Thouvenin",,163,
62326,"Antoine Isaac",,131,
62327,"José Aramis Marin Pérez",,123,
62328,"Kingsley Uyi Idehen",,99,
62329,"S. ter Braake",,127,
62330,"A. S. Fokkens",,127,
62331,"André Velter",,109,
62332,"Imen Tayari-Meftah",,115,
62333,"Marianne Habib",,171,
62334,"Grégoire Borst",,171,
62335,"Nicolas Poirel",,171,
62336,"Olivier Houdé",,171,
62337,"Sylvain Moutier",,171,
62338,"Mathieu Cassotti",,171,
62339,"Julien Pierre",,121,
62340,"Camille Alloing",10,129,3
62341,"Marie-Christine Bornes-Varol",,283,
62342,"Marie-Sol Ortola",,283,
62343,"Odile Farge",30,271,10
62344,"Paweł Kapłański",,191,
62345,"Marc Nanard",,143,
62346,"Jocelyne Nanard",,143,
62347,"Kamenka Staykova",,109,
62348,"Michel Chein",,109,
62349,"Alain Gutierrez",,109,
62350,"Valia Saraydarova",,109,
62351,"Danail Dochev",,109,
62352,"Abdelkrim Beloued",,389,
62353,INA,,103,
62354,"Rémy Besson",20,119,
62355,"Claire Scopsi",30,123,10
62356,"Éva Sandri",,247,
62357,"Armando Stellato",,117,
62358,"Andrea Turbati",,117,
62359,"Manuel Fiorelli",,117,
62360,"Tiziano Lorenzetti",,117,
62361,"Eugeniu Costetchi",,117,
62362,"Christine Laaboudi",,117,
62363,"Willem Van Gemert",,117,
62364,"Johannes Keizer",,117,
62365,"David Hutchison",,703,
62366,"Doug Tygar",,475,
62367,"Lora Aroyo",,427,
62368,"Grigoris Antoniou",,247,
62369,"Eero Hyvönen",,423,
62370,"Annette ten Teije",,475,
62371,"Heiner Stuckenschmidt",,475,
62372,"Liliana Cabral",,247,
62373,"Tania Tudorache",,395,
62374,"Thomas Schandl",,247,
62375,"Andreas Blumauer",,247,
62376,"Valentin Zacharias",,93,
62377,"Simone Braun",,93,
62378,"Paolo Traverso",,195,
62379,"Fabio Ciravegna",,195,
62380,"Philipp Cimiano",,195,
62381,"Tom Heath",,195,
62382,"Riichiro Mizoguchi",,195,
62383,"Eyal Oren",,195,
62384,"Marta Sabou",,195,
62385,"Elena Simperl",,195,
62386,"Barış Sertkaya",,195,
62387,"B. Thomas Adler",,143,
62388,"Luca de Alfaro",,143,
62389,"Csongor Nyulas",,167,
62390,"Natalya F. Noy",,167,
62391,"Mark A. Musen",,167,
62392,"Isabel Cruz",,247,
62393,"Stefan Decker",,247,
62394,"Dean Allemang",,247,
62395,"Chris Preist",,247,
62396,"Daniel Schwabe",,247,
62397,"Peter Mika",,247,
62398,"Mike Uschold",,247,
62399,"Lora M. Aroyo",,247,
62400,"Sören Auer",,247,
62401,"Sebastian Dietzold",,247,
62402,"Thomas Riechert",,247,
62403,"Max Völkel",,261,
62404,"Markus Krötzsch",,261,
62405,"Denny Vrandecic",,261,
62406,"Heiko Haller",,183,
62407,"Rudi Studer",,183,
62408,"Farzaneh Mahdisoltani",,97,
62409,"Joanna Biega",,97,
62410,"Fabian M Suchanek",,97,
62411,"Iris V. Naudin",,19,
62412,"Dominique Pialot",,99,
62413,"Mathieu Mercuriali",,127,
62414,"Andrzej Duda",,183,
62415,"Olivier Alphand",,183,
62416,"Michele Amoretti",,183,
62417,"Timothy Claeys",,183,
62418,"Simone Dall 'asta",,183,
62419,"Gianluigi Ferrari",,183,
62420,"Franck Rousseau",,183,
62421,"Bernard Tourancheau",,183,
62422,"Luca Veltri",,183,
62423,"Francesco Zanichelli",,183,
62424,"David Filliat",,143,
62425,"Nolwenn Maudet",,19,
62426,"Sabrina Boulesnane",,155,
62427,"Laïd Bouzidi",,155,
62428,"Eleonora Moiraghi",,19,
62429,"Emeline Eudes",,121,
62430,"Véronique Maire",,121,
62431,InternetActu.net,,99,40
62432,"Juliette Brun",,19,
62433,"Cathie Marache-Francisco",,19,
62434,"Pierre Marquis",,19,
62436,"Maud Hagelstein",,143,
62437,"Johanna Völker",,247,
62438,"Siegfried Handschuh",,247,
62439,"Mathieu d’Acquin",,247,
62440,"Andriy Nikolov",,247,
62441,"Nathalie Aussenac-Gilles",,351,
62442,"Nathalie Hernandez",,351,
62443,"Alice Hermann",,247,
62444,"Mireille Ducassé",,247,
62445,"Romain Allais",,19,
62446,"Benjamin Tyl",,19,
62447,"Julie Postel",,19,
62448,"Raphaèle Fleury",,19,
62449,"Jean Davallon",,19,
62450,"Lamine Sarr",,19,
62451,"Ines Bannour",,123,
62452,"Aous Karoui",,123,
62454,"S. Szoniecky",,"19 | 153",
62457,"R. Fournier-S'niehotta",,153,
62458,"F. Siala-Kallel",,153,
62460,"S. Labelle",,153,
62461,"Mathieu Vermeulen",,115,
62462,"Mehdi Ammi",60,283,20
62463,"Javier Lopez",,129,
62464,"Ruben Rios",,129,
62465,"Feng Bao",,129,
62466,"Guilin Wang",,129,
62467,"Jayavardhana Gubbi",,129,
62468,"Rajkumar Buyya",,129,
62469,"Slaven Marusic",,129,
62470,"Marimuthu Palaniswami",,129,
62471,"B. Yu",,191,
62472,"J. Wright",,191,
62473,"S. Nepal",,191,
62474,"L. Zhu",,191,
62475,"J. Liu",,191,
62476,"R. Ranjan",,191,
62477,"Luciano Floridi",,155,
62478,"Federica Russo",,143,
62479,"Myriam Tanant",,141,
62480,"Marion Colas-Blaise",,149,
62481,"Anne Beyaert-Geslin",20,635,20
62482,"Maria Giulia Dondero",10,511,10
62483,"Audrey Moutat",,161,
62484,"Levitin Daniel",,99,
62485,"Isabelle (1972- ) Auteur du texte Delannoy",,123,
62486,"Bruno Menon",30,247,10
62487,"Carola Fernandez-Moujan",,19,
62488,"Salomé Frémineur",,147,
62489,"Sébastien Dourlens",,19,
62490,"Aymeric Bouchereau",,323,
62491,"Primavera De Filippi",,135,
62492,"Wenxin Mu",,163,
62493,"Frederick Benaben",,163,
62494,"Nicolas Boissel-Dallier",,163,
62495,"Hervé Pingaud",,163,
62496,"Stuart Moran",,155,
62497,"Sophie Berckhan",,155,
62498,"Alison Clarke",,155,
62499,"Groupe Sciences en questions",,145,
62500,"Arnaud Mercier",30,211,20
62501,"Christian Plantin",,85,
62502,"Arthur Schopenhauer",,169,10
62503,"Dominique Laure Miermont",,165,
62504,"Aurélia Grandin",,165,
62505,"Didier Raymond",,165,
62506,"Michael Rinn",,163,
62507,"Yochai Benkler",,133,
62508,"Robert Faris",,133,
62509,"Hal Roberts",,133,
62510,"Cédric Plessiet",40,127,40
62511,"Lucie K. Morisset",,137,
62512,"Amri Toumia",,683,
62513,"Vilém Flusser",,243,20
62514,"Céline Borelle",,19,
62515,"Jean-Samuel Beuscart",,139,
62516,"Patrice Flichy",,139,
62517,"Soroush Vosoughi",,167,
62518,"Deb Roy",,167,
62519,"Sinan Aral",,167,
62520,"Geoffroy Daignes",,19,
62521,"Gilles Sahut",,143,
62522,"Florence Millerand",,107,
62523,"John E. McPeck",,159,
62524,"Matthew Lipman",,101,
62525,"Peter Facione",,97,
62526,"Robert H. Ennis",,81,
62527,"James Elmborg",,155,
62528,"Kees Dongen",,137,
62529,"Jan Maarten Schraagen",,137,
62530,"Aletta Eikelboom",,137,
62531,"Guido Brake",,137,
62532,"Claude Poissenot",,115,
62533,"Françoise Schenk",,135,
62534,"Vincent Crapanzano",,151,
62535,"Julien Bernard",,127,
62536,"Eva Illouz",,109,
62537,"Denis Guénoun",,121,
62538,"Elisabetta Zibetti",,127,
62539,"Mônica Macedo-Rouet",,155,
62540,"Jason L. G. Braasch",,155,
62541,"M. Anne Britt",,155,
62542,"Jean-François Rouet",,243,
62543,"Tobias Richter",,171,
62544,"Johanna Maier",,171,
62545,"Normand Baillargeon",,89,
62546,Charb,,89,
62547,"Normand Baillargeon",,109,
62548,"Renée Bourassa",80,259,30
62549,"Lucile Haute",,19,
62550,"Gilles Rouffineau",,19,
62551,"Philippe Nys",,113,
62552,"Federico Gobbo",,127,
62553,"Jean H M Wagemans",,127,
62554,"Romain Badouard",,147,
62555,"Anne-Lorraine Bujon",,147,
62556,"Shlomo Benartzi",,223,
62557,"John Beshears",,223,
62558,"Katherine L. Milkman",,223,
62559,"Cass R. Sunstein",,223,
62560,"Richard H. Thaler",,223,
62561,"Maya Shankar",,223,
62562,"Will Tucker-Ray",,223,
62563,"William Congdon",,223,
62564,"Steven Galing",,223,
62565,"Marcello Vitali-Rosati",30,521,50
62566,"Jean-Marc Larrue",60,197,40
62567,"Gabrielle Godin",60,249,20
62568,"Thomas Piketty",,125,
62569,"François-Bernard Huyghe",,143,
62570,"Catherine Gouédard",10,159,
62571,"Pierre Rabardel",10,417,40
62572,"Everardo Reyes",80,835,80
62573,"Bernard Magné",,167,
62574,"Roger Bautier",,151,
62575,"Ali Tebbakh",,93,
62576,"Julian Alvarez",,107,
62577,"Renaud Fabre",,143,
62578,"Liehuang Zhu",,131,
62579,"Keke Gai",,131,
62580,"Meng Li",,131,
62581,"Cristina Lindenmeyer",,139,
62582,"Marie-Pia d’Ortho",,139,
62583,"Dominique Wolton",,121,30
62585,Dalai-lama,,129,
62586,"François Verdeaux",,149,
62587,"Ingrid Hall",,149,
62588,"Bernard Moizo",,149,
62589,"Seth Van Hooland",,165,
62590,"Florence Gillet",,165,
62591,"Simon Hengchen",,165,
62592,"Max De Wilde",,165,
62593,"Michael Sinatra",20,173,10
62594,"Joseph Rézeau",,159,
62595,"Yves-François Le Coadic",,357,
62596,"Serge Cacaly",,115,
62597,"Bénédicte Langlois",,115,
62598,"Sébastien George",,115,
62599,"Lenka Stransky",30,151,30
62600,"Ciciliato Vincent",,141,
62601,"Frédérique Aït-Touati",,161,
62602,"Alexandra Arènes",,161,
62603,"Axelle Grégoire",,161,
62604,"David Diop",,179,
62605,"Roselyne Koren",,191,
62606,Spinoza,,105,80
62607,"Charles Appuhn",,105,
62608,"Myriam Marzouki",,19,
