o:id,dcterms:title,jdc:hasRencontre,jdc:complexity,jdc:valeurUtilite
61098,"Gaston Bachelard",,825,50
61099,"E. H Chi",,101,
61100,"J. T Riedl",,101,
61101,"M. Kitsak",,109,
61102,"L. K Gallos",,109,
61103,"S. Havlin",,109,
61104,"F. Liljeros",,109,
61105,"L. Muchnik",,109,
61106,"H. E Stanley",,109,
61107,"H. A Makse",,109,
61108,"Michel Serres",10,399,80
61109,"Walter J. Ong",,113,
61110,"Götz Uebe",,147,
61112,"J. Heer",,191,
61113,"John Venn",,105,
61116,"Claude Baltz",60,269,50
61117,"Luke Rhinehart",,97,
61118,"Jacques Bouveresse",,203,10
61119,"Emmanuel Sander",50,501,60
61121,"Hans Robert Jauss",,101,30
61122,"Pierre Boulez",10,199,30
61123,"Catherine Cazenave",,215,
61124,"Félix Guattari",,585,60
61125,"Brigitte Juanals",30,413,50
61126,"Jean-Max Noyer",70,1025,70
61127,Krishnamurti,,85,
61128,"Susana Nuccetelli",,97,
61129,"L. A Coldren",,105,
61130,"S. W Corzine",,105,
61131,"J. Wiley",,105,
61132,"Pierre Lévy",30,1871,60
61133,"Carl Gustav Jung",,575,70
61134,"Timothy Francis Leary",,101,50
61135,"Jean-Pierre Astolfi",,97,
61136,"Evelyne Broudoux",10,377,10
61137,"Sylvie Chartron",,109,
61138,"Stephan Renaud",,105,
61139,"Olivier Gerbé",,109,
61140,"Guy Mineau",,109,
61141,"Frédéric Fürst",,109,
61142,"Francky Trichet",,109,
61143,"Anthony Hock-koon",,113,
61144,"Mourad Oussalah",,113,
61145,"Thibaut de Saint-Maurice",,97,
61146,"Tim Berners-Lee",,233,50
61147,"Carole Lipsyc",10,297,
61148,"Imad Saleh",90,3003,90
61149,"Sylvie Leleu-Merviel",60,1013,50
61150,"Yves Jeanneret",10,607,30
61151,"Luc Massou",40,507,20
61152,"Nasreddine BouhaÏ",80,1689,30
61153,"Jean-Pierre Balpe",70,1273,70
61154,"S. R. Ranganathan",,93,
61155,"Jean Tellez",,97,
61156,"Colette Nativel",,105,
61157,"Marc Fumaroli",,117,10
61158,"Johann Joachim Winckelmann",,89,
61159,"Jean-Claude Fredouille",,105,
61160,"Michel Fishbane",,105,
61161,"Pierre Chiron",,105,
61163,"André Masson",,89,
61164,"M. Battistini",,101,
61165,"José M. Zamora",,113,
61166,"Alain Badiou",,505,40
61167,"Michel Tournier",,105,
61168,"John Cage",,297,70
61169,"Ferguson Russell",,109,
61171,"Manuel Zacklad",70,1083,70
61172,"Edgar Morin",,739,80
61173,"Khaldoun Zreik",80,1115,70
61174,"Jean-Baptiste Lalanne",,115,
61175,"Johann Amos Comenius",,93,
61176,"Comenius (1592-1670)",,127,
61177,"Michel de (1853-1929). Adaptateur Crayencour",,127,
61178,"Francis (1849-1916). Traducteur Lützow",,127,
61179,"Benjamin Huynh-Kim-Bang",,81,
61180,"Joseph Mariani",,109,
61181,"Jean-Michel Besnier",,109,
61182,"Jacques Bordé",,109,
61183,"Jean-Michel Cornu",,113,10
61184,"Marie Frage",,109,
61185,"Jean-Gabriel Ganascia",,339,
61186,"Jean-Paul Haton",,109,
61187,"Evelyne Serverin",,109,
61188,"Michèle Drechsler",,81,
61189,"Michel Foucault",,207,60
61190,"Nathalie Girard",,105,
61191,"Régine Teulier",,199,
61192,"Jean Charlet",,199,
61193,"Pierre Tchounikine",,199,
61194,"Roberto Casati",,101,
61196,"Pierre Thibaud",,135,
61197,"Frank Pierce",,143,
61198,"F. Merceur",,105,
61199,"M. Le Gall",,105,
61200,"A. Salaun",,105,
61201,"Émilie Zum Brunn",,117,
61202,"Alain de Libera",,289,
61203,"James Hendler",,77,
61204,"Ora Lassila",,77,
61205,"Ludwig Wittgenstein",,187,50
61206,"Gilles-Gaston Granger",,109,20
